id,experiment_uuid,participant_id,created_at,updated_at,trial_number,trial_type,trial_category,stimulus,response,response_time,firstStim,secondStim,cupFullness,tableType,y_position,dispImage_duration,accuracy,correct_response,trial_duration,time_elapsed,timestamp,user_agent
88,6023b648-b34a-4a61-89e8-2589fb1b6e39,58bef6fd31de840001e84ba0,2026-02-12 15:22:52.058645,2026-02-12 15:22:52.058645,13,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""f""",918.0,src/assets/stimuli/cups/cupFull_posRight_tableGroove,src/assets/stimuli/cups/cupFull_posCenter_tableGroove,Full,Groove,604.0,500.0,0.0,j,,74457,2026-02-12T15:22:51.716Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0
95,6023b648-b34a-4a61-89e8-2589fb1b6e39,58bef6fd31de840001e84ba0,2026-02-12 15:22:55.921767,2026-02-12 15:22:55.921767,22,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",948.0,src/assets/stimuli/cups/cupFull_posRight_tablePlatform,src/assets/stimuli/cups/cupFull_posCenter_tablePlatform,Full,Platform,343.0,500.0,1.0,j,,78373,2026-02-12T15:22:55.631Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0
102,6023b648-b34a-4a61-89e8-2589fb1b6e39,58bef6fd31de840001e84ba0,2026-02-12 15:23:00.398472,2026-02-12 15:23:00.398472,31,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""f""",2110.0,src/assets/stimuli/cups/cupFull_posRight_tableFlat,src/assets/stimuli/cups/cupFull_posCenter_tableFlat,Full,Flat,437.0,200.0,0.0,j,,82838,2026-02-12T15:23:00.096Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0
109,6023b648-b34a-4a61-89e8-2589fb1b6e39,58bef6fd31de840001e84ba0,2026-02-12 15:23:03.927025,2026-02-12 15:23:03.927025,40,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""f""",1199.0,src/assets/stimuli/cups/cupFull_posRight_tableFlat,src/assets/stimuli/cups/cupFull_posRight_tableFlat,Full,Flat,116.0,200.0,1.0,f,,86376,2026-02-12T15:23:03.634Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0
116,6023b648-b34a-4a61-89e8-2589fb1b6e39,58bef6fd31de840001e84ba0,2026-02-12 15:23:07.114678,2026-02-12 15:23:07.114678,49,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""f""",557.0,src/assets/stimuli/cups/cupFull_posCenter_tableGroove,src/assets/stimuli/cups/cupFull_posCenter_tableGroove,Full,Groove,361.0,300.0,1.0,f,,89502,2026-02-12T15:23:06.760Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0
123,6023b648-b34a-4a61-89e8-2589fb1b6e39,58bef6fd31de840001e84ba0,2026-02-12 15:23:10.432831,2026-02-12 15:23:10.432831,58,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""f""",724.0,src/assets/stimuli/cups/cupFull_posRight_tableFlat,src/assets/stimuli/cups/cupFull_posRight_tableFlat,Full,Flat,120.0,300.0,1.0,f,,92789,2026-02-12T15:23:10.047Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0
130,6023b648-b34a-4a61-89e8-2589fb1b6e39,58bef6fd31de840001e84ba0,2026-02-12 15:23:16.208703,2026-02-12 15:23:16.208703,67,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",2906.0,src/assets/stimuli/cups/cupFull_posCenter_tableFlat,src/assets/stimuli/cups/cupFull_posRight_tableFlat,Full,Flat,440.0,500.0,1.0,j,,98661,2026-02-12T15:23:15.919Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0
137,6023b648-b34a-4a61-89e8-2589fb1b6e39,58bef6fd31de840001e84ba0,2026-02-12 15:23:20.210795,2026-02-12 15:23:20.210795,76,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""f""",1044.0,src/assets/stimuli/cups/cupFull_posRight_tableFlat,src/assets/stimuli/cups/cupFull_posRight_tableFlat,Full,Flat,425.0,500.0,1.0,f,,102664,2026-02-12T15:23:19.922Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0
144,6023b648-b34a-4a61-89e8-2589fb1b6e39,58bef6fd31de840001e84ba0,2026-02-12 15:23:24.095033,2026-02-12 15:23:24.095033,85,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",1312.0,src/assets/stimuli/cups/cupFull_posRight_tableGroove,src/assets/stimuli/cups/cupFull_posCenter_tableGroove,Full,Groove,467.0,300.0,1.0,j,,106546,2026-02-12T15:23:23.804Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0
151,6023b648-b34a-4a61-89e8-2589fb1b6e39,58bef6fd31de840001e84ba0,2026-02-12 15:23:27.958293,2026-02-12 15:23:27.958293,94,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",1271.0,src/assets/stimuli/cups/cupFull_posCenter_tableGroove,src/assets/stimuli/cups/cupFull_posRight_tableGroove,Full,Groove,213.0,300.0,1.0,j,,110407,2026-02-12T15:23:27.665Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0
